generation,best_m,archive_median_m,archive_cells,qd_score,failed,evaluation_seconds
0,4.0647,0.0149,257,92.29,0,44.255
1,8.4790,0.0711,744,358.04,0,15.361
2,12.4727,0.1459,995,635.52,0,33.153
3,12.4727,0.1901,1126,885.88,0,11.735
4,19.5769,0.3608,1192,1441.54,0,27.978
5,23.7423,0.5870,1227,2012.48,0,11.302
6,26.3990,0.7952,1255,2640.03,0,14.646
7,29.8158,1.1186,1270,3657.94,0,24.949
8,32.1376,1.4235,1289,4635.44,0,22.260
9,40.6968,1.7812,1303,5549.34,0,20.736
10,41.5919,2.1447,1319,6844.89,0,20.115
11,43.4446,2.8740,1332,8224.59,0,21.767
12,52.5240,3.2382,1342,9379.73,0,30.277
13,84.0079,3.6156,1355,10981.40,0,15.964
14,96.0878,4.5586,1359,12830.81,0,28.930
15,97.3424,5.4274,1362,14231.23,0,9.749
16,129.2855,6.0239,1364,16194.97,0,16.616
17,165.5846,6.7797,1367,18713.84,0,17.920
18,165.5846,8.1114,1370,21000.40,0,12.704
19,165.5846,8.8442,1374,23060.27,0,15.190
