archive_rank,archive_m,replay_m,nodes,total_bone_length_m,longest_bone_m,mass_kg,slip_m,slip_per_replay_m
1,165.6,157.3,6,1.77,0.41,3.20,0.7,0.00
2,160.7,159.6,6,1.78,0.41,3.21,13.5,0.08
3,157.5,157.5,6,1.77,0.41,3.20,12.8,0.08
4,157.4,155.6,6,1.77,0.41,3.20,19.0,0.12
5,157.1,165.7,7,3.99,1.36,17.19,182.5,1.10
6,147.4,152.7,7,4.02,1.35,17.33,180.7,1.18
7,145.0,155.5,6,1.78,0.40,3.25,4.1,0.03
8,142.9,141.5,7,2.20,0.53,4.72,103.5,0.73
9,135.2,140.1,6,1.77,0.40,3.21,13.3,0.09
10,134.7,133.1,7,3.13,1.06,11.07,143.5,1.08
11,133.2,147.0,7,2.22,0.54,4.77,91.9,0.63
12,132.9,133.3,7,2.14,0.40,3.98,4.8,0.04
13,132.3,139.9,6,1.75,0.41,3.15,14.4,0.10
14,128.5,127.3,7,2.23,0.54,4.74,90.8,0.71
15,126.2,143.8,7,2.22,0.51,4.75,53.8,0.37
16,124.3,111.7,7,2.21,0.54,4.71,75.4,0.68
17,123.0,137.8,7,2.23,0.54,4.82,98.7,0.72
18,119.8,124.8,7,3.98,1.34,17.06,140.5,1.13
19,118.8,139.5,7,2.20,0.52,4.73,101.0,0.72
20,117.5,120.9,7,2.21,0.53,4.71,116.9,0.97
21,111.2,6.4,8,2.65,0.53,5.55,7.3,1.13
22,111.1,121.2,7,4.00,1.34,17.01,140.8,1.16
23,105.1,117.7,7,2.33,0.56,5.11,105.3,0.89
24,105.1,104.0,7,2.41,0.57,5.35,79.9,0.77
25,102.6,125.0,6,1.76,0.39,3.19,14.2,0.11
26,99.4,92.8,6,1.78,0.40,3.25,21.7,0.23
27,97.8,90.2,7,2.22,0.54,4.75,57.9,0.64
28,96.9,95.5,7,4.00,1.36,17.18,115.1,1.21
29,96.9,121.3,7,3.15,1.06,11.11,148.3,1.22
30,96.5,96.9,7,3.12,1.06,11.03,120.9,1.25
31,92.9,93.4,7,2.23,0.53,4.77,48.5,0.52
32,92.2,89.6,10,7.47,1.81,36.09,89.9,1.00
33,92.1,92.2,7,2.22,0.53,4.75,51.7,0.56
34,89.4,81.5,8,2.83,0.60,6.36,76.1,0.93
35,84.5,180.5,7,4.00,1.35,17.14,195.3,1.08
36,80.4,85.5,7,2.22,0.53,4.75,101.2,1.18
37,80.2,87.4,7,2.20,0.53,4.71,92.3,1.06
38,78.0,103.5,6,1.77,0.41,3.22,2.8,0.03
39,77.0,76.6,7,2.21,0.53,4.68,95.1,1.24
40,75.2,92.9,7,3.95,1.36,17.17,126.2,1.36
41,74.6,84.8,6,1.79,0.40,3.31,20.8,0.25
42,73.4,82.4,7,2.22,0.53,4.76,88.5,1.08
43,73.4,162.1,7,4.04,1.38,17.69,176.5,1.09
44,70.4,140.0,8,5.10,1.55,23.33,147.4,1.05
45,69.9,99.5,7,4.01,1.37,17.35,105.9,1.06
46,69.7,98.5,8,2.82,0.60,6.34,94.5,0.96
47,68.5,40.4,7,3.99,1.35,16.97,41.8,1.04
48,68.5,74.0,6,0.82,0.22,1.26,7.6,0.10
49,68.5,118.9,8,5.56,1.42,27.04,128.9,1.08
50,67.6,83.6,8,2.66,0.53,5.55,69.4,0.83
