generation,best_m,archive_median_m,archive_cells,qd_score,failed,evaluation_seconds
0,5.7983,0.1681,228,105.99,0,16.084
1,13.5510,0.2919,620,526.96,0,17.239
2,34.4939,0.5301,847,1116.61,0,22.819
3,59.4682,0.6164,1009,1725.48,0,27.842
4,76.8181,0.8815,1093,2768.92,0,26.722
5,100.5356,1.2387,1144,4056.26,0,27.716
6,124.9727,1.6140,1185,5339.46,0,36.664
7,137.9742,1.9380,1210,6634.09,0,35.473
8,141.4072,2.4144,1235,8321.87,0,36.195
9,155.8030,2.9302,1264,10198.34,0,37.103
10,157.9568,3.6819,1287,12590.78,0,40.271
11,157.9568,4.4491,1292,14466.70,0,38.297
12,161.4586,5.4019,1308,16689.31,0,37.625
13,163.3317,6.5323,1315,18844.46,0,40.400
14,173.3888,7.4309,1324,21321.52,0,44.200
15,174.0199,8.1658,1336,23051.15,0,37.699
16,180.1288,8.9703,1340,25291.21,0,44.068
17,180.1288,10.3489,1345,27326.16,0,43.610
18,189.6814,11.5086,1349,29320.75,0,45.674
19,192.9634,12.7988,1350,30914.45,0,42.154
