archive_rank,archive_m,replay_m,nodes,total_bone_length_m,longest_bone_m,mass_kg,slip_m,slip_per_replay_m
1,193.0,214.8,5,1.53,0.47,3.20,110.9,0.52
2,189.7,215.6,5,1.53,0.47,3.19,136.0,0.63
3,187.7,192.6,5,2.03,0.64,5.11,95.0,0.49
4,176.2,201.8,5,1.53,0.47,3.21,171.8,0.85
5,173.0,191.9,6,1.59,0.45,3.09,107.5,0.56
6,171.8,171.8,5,2.02,0.67,5.07,74.8,0.44
7,171.7,171.7,5,2.02,0.66,5.06,75.3,0.44
8,170.1,170.1,6,1.62,0.46,3.18,93.8,0.55
9,168.5,168.5,5,1.49,0.48,3.11,102.0,0.61
10,165.7,165.7,5,2.07,0.66,5.30,88.1,0.53
11,165.3,165.3,5,1.49,0.48,3.12,114.2,0.69
12,160.8,168.0,5,1.50,0.49,3.10,84.7,0.50
13,159.4,159.4,6,1.61,0.46,3.17,92.2,0.58
14,158.7,185.1,7,1.74,0.46,3.33,101.5,0.55
15,158.0,199.9,5,1.51,0.50,3.11,93.2,0.47
16,153.9,153.9,5,1.52,0.47,3.09,138.9,0.90
17,153.7,158.5,5,1.54,0.47,3.16,104.3,0.66
18,153.6,157.8,6,2.51,0.84,7.70,45.0,0.29
19,151.8,158.3,5,1.50,0.49,3.13,82.9,0.52
20,150.8,156.8,6,2.50,0.83,7.67,44.6,0.28
21,150.1,158.2,5,1.54,0.47,3.16,106.0,0.67
22,146.2,157.3,6,2.52,0.83,7.65,48.1,0.31
23,144.6,144.6,5,2.04,0.65,5.14,81.7,0.56
24,139.8,144.1,6,1.50,0.43,2.84,69.3,0.48
25,139.2,139.7,6,2.52,0.84,7.79,59.4,0.43
26,138.8,165.1,5,2.02,0.63,5.05,85.3,0.52
27,137.8,143.4,6,1.97,0.48,4.28,203.7,1.42
28,133.5,141.7,6,2.51,0.84,7.70,72.4,0.51
29,132.5,132.5,5,1.52,0.47,3.12,70.2,0.53
30,132.4,132.4,5,2.03,0.65,5.10,70.9,0.54
31,132.2,137.5,6,1.57,0.45,3.05,77.7,0.56
32,130.9,140.5,6,2.48,0.73,6.40,75.2,0.53
33,129.9,135.0,7,2.81,0.66,6.63,66.7,0.49
34,129.8,129.8,6,1.63,0.46,3.22,97.6,0.75
35,129.3,149.1,6,2.00,0.48,4.23,114.2,0.77
36,128.8,165.0,6,2.18,0.67,5.03,132.3,0.80
37,127.6,179.5,6,2.27,0.65,5.56,72.9,0.41
38,123.8,135.6,6,2.51,0.83,7.69,35.9,0.26
39,122.9,147.8,5,2.27,0.72,6.05,79.6,0.54
40,122.8,164.9,5,1.52,0.47,3.05,82.9,0.50
41,117.8,117.8,5,2.13,0.70,5.55,52.2,0.44
42,116.5,116.5,6,2.74,0.90,8.92,56.9,0.49
43,111.5,194.7,6,1.61,0.45,3.18,98.4,0.51
44,110.5,110.5,5,2.14,0.70,5.52,40.2,0.36
45,110.0,129.8,5,2.15,0.70,5.58,36.5,0.28
46,109.4,113.3,5,2.01,0.55,4.82,70.0,0.62
47,108.4,123.0,6,2.49,0.72,6.49,72.4,0.59
48,107.3,107.3,6,2.26,0.74,5.44,82.5,0.77
49,106.7,110.9,6,2.56,0.83,7.67,61.4,0.55
50,105.0,105.0,5,1.51,0.47,3.06,52.4,0.50
