seed,generation,evaluations,search_wall_seconds,generation_search_seconds,gpu_evaluation_seconds,archive_seconds,offspring_seconds,benchmark_wall_seconds,best_distance_m,median_elite_distance_m,qd_score,archive_cells,archive_coverage,archive_unique_topologies,archive_topology_entropy_bits,archive_triangle_like_count,archive_triangle_like_fraction,archive_node_counts_json,archive_muscle_counts_json,population_unique_topologies,population_topology_entropy_bits,population_triangle_like_count,population_triangle_like_fraction,population_node_counts_json,population_muscle_counts_json,emitter_statistics_json,topology_change_candidates_json,archived_innovations_this_generation,innovation_survival_3gen_fraction,new_all_time_record,evaluations_since_previous_record
41,0,1000,0.010984924,0.010984924,0.008083156,0.000230337,0.002671431,0.014405542,0.94497,0.14331843,2.7502819430083036,11,0.057291668,7,2.4040097573248604,5,0.45454545454545453,"{""3"":5,""4"":2,""5"":4}","{""3"":5,""5"":2,""6"":2,""7"":2}",27,3.057273067601598,309,0.309,"{""3"":309,""4"":346,""5"":345}","{""3"":309,""4"":232,""5"":264,""6"":136,""7"":52,""8"":6,""9"":1}","{""Initial population"":{""attempts"":1000,""discoveries"":11,""improvements"":20,""insertions"":31,""insertion_rate"":0.031}}",{},0,0.0,true,1000
41,1,2000,0.021458119,0.010473195000000001,0.007177243,0.000764623,0.002531329,0.028611617,8.97238,0.15432473,46.420678682625294,65,0.33854166,7,1.51106717874084,44,0.676923076923077,"{""3"":44,""4"":17,""5"":4}","{""3"":44,""5"":17,""6"":3,""7"":1}",35,2.652394189128408,551,0.551,"{""3"":551,""4"":281,""5"":148,""6"":20}","{""3"":551,""4"":121,""5"":168,""6"":123,""7"":22,""8"":12,""9"":3}","{""Diagonal CMA-ES"":{""attempts"":342,""discoveries"":48,""improvements"":33,""insertions"":81,""insertion_rate"":0.23684210526315788},""Immigrant"":{""attempts"":50,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":336,""discoveries"":4,""improvements"":7,""insertions"":11,""insertion_rate"":0.03273809523809524},""Novelty"":{""attempts"":272,""discoveries"":2,""improvements"":10,""insertions"":12,""insertion_rate"":0.04411764705882353}}","{""Morphology"":225,""Novelty"":41}",3,0.0,true,1000
41,2,3000,0.035527654,0.014069535,0.009537601,0.001634916,0.002897018,0.047470731,16.20233,0.66049844,241.79549831151962,123,0.640625,14,2.3841997075430665,70,0.5691056910569106,"{""3"":70,""4"":42,""5"":11}","{""3"":70,""4"":9,""5"":33,""6"":4,""7"":2,""8"":5}",37,2.728193418050999,547,0.547,"{""3"":547,""4"":347,""5"":96,""6"":10}","{""3"":547,""4"":144,""5"":224,""6"":47,""7"":19,""8"":16,""9"":3}","{""Diagonal CMA-ES"":{""attempts"":316,""discoveries"":24,""improvements"":32,""insertions"":56,""insertion_rate"":0.17721518987341772},""Immigrant"":{""attempts"":149,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":295,""discoveries"":17,""improvements"":18,""insertions"":35,""insertion_rate"":0.11864406779661017},""Novelty"":{""attempts"":240,""discoveries"":17,""improvements"":21,""insertions"":38,""insertion_rate"":0.15833333333333333}}","{""Morphology"":211,""Novelty"":32}",7,0.0,true,1000
41,3,4000,0.05108488,0.015557226,0.010893501,0.001788078,0.002875647,0.067088531,16.20233,1.2209424,379.23149893432856,138,0.71875,15,2.5978783888343946,72,0.5217391304347826,"{""3"":72,""4"":52,""5"":14}","{""3"":72,""4"":12,""5"":41,""6"":5,""7"":2,""8"":6}",60,3.334524196208336,442,0.442,"{""3"":442,""4"":389,""5"":153,""6"":16}","{""11"":4,""12"":1,""3"":442,""4"":144,""5"":273,""6"":52,""7"":24,""8"":54,""9"":6}","{""Diagonal CMA-ES"":{""attempts"":317,""discoveries"":9,""improvements"":17,""insertions"":26,""insertion_rate"":0.08201892744479496},""Immigrant"":{""attempts"":155,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":288,""discoveries"":0,""improvements"":13,""insertions"":13,""insertion_rate"":0.04513888888888889},""Novelty"":{""attempts"":240,""discoveries"":6,""improvements"":22,""insertions"":28,""insertion_rate"":0.11666666666666667}}","{""Morphology"":188,""Novelty"":30}",1,0.0,false,1000
41,4,5000,0.066773897,0.015689017,0.010761711,0.001986358,0.002940948,0.087377157,20.45457,1.5554211,484.4734843708575,149,0.7760417,16,2.765261553074238,71,0.47651006711409394,"{""3"":71,""4"":62,""5"":16}","{""3"":71,""4"":17,""5"":46,""6"":3,""7"":1,""8"":11}",60,3.4062519301531955,428,0.428,"{""3"":428,""4"":412,""5"":150,""6"":10}","{""11"":5,""3"":428,""4"":157,""5"":282,""6"":50,""7"":20,""8"":53,""9"":5}","{""Diagonal CMA-ES"":{""attempts"":301,""discoveries"":4,""improvements"":11,""insertions"":15,""insertion_rate"":0.04983388704318937},""Immigrant"":{""attempts"":139,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":302,""discoveries"":4,""improvements"":18,""insertions"":22,""insertion_rate"":0.0728476821192053},""Novelty"":{""attempts"":258,""discoveries"":3,""improvements"":19,""insertions"":22,""insertion_rate"":0.08527131782945736}}","{""Morphology"":214,""Novelty"":27}",3,1.0,true,2000
41,5,6000,0.081422834,0.014648936999999999,0.009339321,0.002124084,0.003185532,0.106309883,20.45457,2.6114717,622.1638244292699,151,0.7864583,18,2.745302439894702,72,0.4768211920529801,"{""3"":72,""4"":65,""5"":14}","{""3"":72,""4"":16,""5"":51,""6"":2,""7"":1,""8"":9}",66,3.6510568576697233,374,0.374,"{""3"":374,""4"":423,""5"":181,""6"":22}","{""11"":8,""12"":3,""3"":374,""4"":169,""5"":286,""6"":62,""7"":20,""8"":70,""9"":8}","{""Diagonal CMA-ES"":{""attempts"":289,""discoveries"":2,""improvements"":11,""insertions"":13,""insertion_rate"":0.04498269896193772},""Immigrant"":{""attempts"":138,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":318,""discoveries"":0,""improvements"":16,""insertions"":16,""insertion_rate"":0.050314465408805034},""Novelty"":{""attempts"":255,""discoveries"":0,""improvements"":21,""insertions"":21,""insertion_rate"":0.08235294117647059}}","{""Morphology"":224,""Novelty"":28}",2,1.0,false,1000
41,6,7000,0.09817567299999999,0.016752839,0.011745985,0.002101525,0.002905329,0.127899793,29.355831,3.4961321,702.0194438584149,155,0.8072917,17,2.777640548409231,72,0.4645161290322581,"{""3"":72,""4"":69,""5"":13,""6"":1}","{""3"":72,""4"":18,""5"":53,""6"":1,""7"":1,""8"":9,""9"":1}",62,3.552707064886133,396,0.396,"{""3"":396,""4"":419,""5"":171,""6"":14}","{""11"":3,""12"":1,""3"":396,""4"":179,""5"":288,""6"":63,""7"":28,""8"":38,""9"":4}","{""Diagonal CMA-ES"":{""attempts"":321,""discoveries"":4,""improvements"":15,""insertions"":19,""insertion_rate"":0.059190031152647975},""Immigrant"":{""attempts"":144,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":288,""discoveries"":0,""improvements"":18,""insertions"":18,""insertion_rate"":0.0625},""Novelty"":{""attempts"":247,""discoveries"":0,""improvements"":13,""insertions"":13,""insertion_rate"":0.05263157894736842}}","{""Morphology"":190,""Novelty"":35}",1,1.0,true,2000
41,7,8000,0.112213152,0.014037479000000002,0.009762002,0.002278434,0.001997043,0.146371846,29.355831,3.9337575,785.5275397598743,158,0.8229167,18,2.8233245424103193,71,0.44936708860759494,"{""3"":71,""4"":69,""5"":17,""6"":1}","{""3"":71,""4"":14,""5"":59,""6"":2,""7"":2,""8"":9,""9"":1}",58,3.337832227095962,428,0.428,"{""3"":428,""4"":415,""5"":136,""6"":21}","{""11"":2,""3"":428,""4"":186,""5"":280,""6"":42,""7"":16,""8"":36,""9"":10}","{""Diagonal CMA-ES"":{""attempts"":316,""discoveries"":1,""improvements"":11,""insertions"":12,""insertion_rate"":0.0379746835443038},""Immigrant"":{""attempts"":147,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":300,""discoveries"":0,""improvements"":20,""insertions"":20,""insertion_rate"":0.06666666666666667},""Novelty"":{""attempts"":237,""discoveries"":2,""improvements"":9,""insertions"":11,""insertion_rate"":0.046413502109704644}}","{""Morphology"":196,""Novelty"":30}",2,0.9285714285714286,false,1000
41,8,9000,0.127969844,0.015756692000000003,0.010259481,0.002318802,0.003178409,0.167312301,29.355831,4.034314,864.5763416364789,162,0.84375,20,2.8826157972912627,71,0.4382716049382716,"{""3"":71,""4"":71,""5"":18,""6"":2}","{""11"":1,""3"":71,""4"":14,""5"":62,""6"":4,""7"":1,""8"":8,""9"":1}",73,3.89200982737331,339,0.339,"{""3"":339,""4"":423,""5"":200,""6"":35,""7"":3}","{""10"":1,""11"":14,""3"":339,""4"":143,""5"":336,""6"":62,""7"":43,""8"":56,""9"":6}","{""Diagonal CMA-ES"":{""attempts"":296,""discoveries"":3,""improvements"":5,""insertions"":8,""insertion_rate"":0.02702702702702703},""Immigrant"":{""attempts"":124,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":300,""discoveries"":0,""improvements"":14,""insertions"":14,""insertion_rate"":0.04666666666666667},""Novelty"":{""attempts"":280,""discoveries"":1,""improvements"":13,""insertions"":14,""insertion_rate"":0.05}}","{""Morphology"":202,""Novelty"":46}",3,0.9375,false,2000
41,9,10000,0.144852101,0.016882256999999998,0.011542956,0.002101526,0.003237775,0.188629131,29.355831,4.1944656,934.9963190630078,162,0.84375,21,2.920125994972071,69,0.42592592592592593,"{""3"":69,""4"":71,""5"":20,""6"":2}","{""11"":1,""3"":69,""4"":13,""5"":62,""6"":5,""7"":2,""8"":9,""9"":1}",65,3.567870924712792,383,0.383,"{""3"":383,""4"":426,""5"":172,""6"":16,""7"":3}","{""10"":1,""11"":8,""15"":1,""3"":383,""4"":145,""5"":324,""6"":67,""7"":30,""8"":38,""9"":3}","{""Diagonal CMA-ES"":{""attempts"":287,""discoveries"":0,""improvements"":5,""insertions"":5,""insertion_rate"":0.017421602787456445},""Immigrant"":{""attempts"":157,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":315,""discoveries"":0,""improvements"":16,""insertions"":16,""insertion_rate"":0.050793650793650794},""Novelty"":{""attempts"":241,""discoveries"":0,""improvements"":4,""insertions"":4,""insertion_rate"":0.016597510373443983}}","{""Morphology"":209,""Novelty"":26}",1,0.9411764705882353,false,3000
