seed,generation,evaluations,search_wall_seconds,generation_search_seconds,gpu_evaluation_seconds,archive_seconds,offspring_seconds,benchmark_wall_seconds,best_distance_m,median_elite_distance_m,qd_score,archive_cells,archive_coverage,archive_unique_topologies,archive_topology_entropy_bits,archive_triangle_like_count,archive_triangle_like_fraction,archive_node_counts_json,archive_muscle_counts_json,innovation_reserve_count,innovation_reserve_morphology_json,population_unique_topologies,population_topology_entropy_bits,population_triangle_like_count,population_triangle_like_fraction,population_node_counts_json,population_muscle_counts_json,emitter_statistics_json,topology_change_candidates_json,archived_innovations_this_generation,innovation_survival_3gen_fraction,new_all_time_record,evaluations_since_previous_record
39,0,1000,0.00903875,0.00903875,0.008080617,0.000083109,0.000875024,0.010495541,0.4237845,0.058044266,1.3445206669857726,10,0.052083332,7,2.6464393446710153,3,0.3,"{""3"":3,""4"":4,""5"":3}","{""3"":3,""4"":1,""5"":3,""6"":2,""7"":1}",0,"{""count"":0,""unique_topologies"":0,""topology_entropy_bits"":0.0,""effective_topology_count"":1.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":0.0,""mean_muscles"":0.0,""node_counts"":{},""muscle_counts"":{}}",25,3.043920503977593,325,0.325,"{""3"":325,""4"":330,""5"":345}","{""3"":325,""4"":216,""5"":264,""6"":141,""7"":48,""8"":6}","{""Initial population"":{""attempts"":1000,""discoveries"":10,""improvements"":21,""insertions"":31,""insertion_rate"":0.031}}",{},0,0.0,true,1000
39,1,2000,0.017252343,0.008213593,0.006946767,0.000434544,0.000832282,0.020074504,9.507483,0.1579772,57.36082805180922,69,0.359375,6,1.6932186253114243,37,0.5362318840579711,"{""3"":37,""4"":15,""5"":16,""6"":1}","{""3"":37,""5"":15,""6"":15,""7"":1,""9"":1}",26,"{""count"":26,""unique_topologies"":26,""topology_entropy_bits"":4.70043971814109,""effective_topology_count"":25.99999999999996,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":5.269230769230769,""mean_muscles"":6.653846153846154,""node_counts"":{""4"":5,""5"":9,""6"":12},""muscle_counts"":{""4"":3,""5"":3,""6"":5,""7"":6,""8"":7,""9"":2}}",39,3.171947095718275,395,0.395,"{""3"":395,""4"":379,""5"":179,""6"":47}","{""3"":395,""4"":82,""5"":310,""6"":122,""7"":44,""8"":32,""9"":15}","{""Diagonal CMA-ES"":{""attempts"":345,""discoveries"":59,""improvements"":41,""insertions"":100,""insertion_rate"":0.2898550724637681},""Immigrant"":{""attempts"":61,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":305,""discoveries"":23,""improvements"":35,""insertions"":58,""insertion_rate"":0.1901639344262295},""Novelty"":{""attempts"":289,""discoveries"":4,""improvements"":17,""insertions"":21,""insertion_rate"":0.0726643598615917}}","{""Morphology"":210,""Novelty"":34}",28,0.0,true,1000
39,2,3000,0.029133437999999998,0.011881095,0.010311513,0.000686247,0.000883335,0.033533492,58.10397,0.562247,279.17400550097227,118,0.6145833,16,2.5354919090439556,59,0.5,"{""3"":59,""4"":34,""5"":23,""6"":2}","{""3"":59,""4"":4,""5"":30,""6"":16,""7"":5,""8"":2,""9"":2}",41,"{""count"":41,""unique_topologies"":41,""topology_entropy_bits"":5.357552004618081,""effective_topology_count"":40.99999999999993,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.048780487804878,""mean_muscles"":8.0,""node_counts"":{""4"":2,""5"":7,""6"":19,""7"":13},""muscle_counts"":{""10"":3,""11"":3,""12"":1,""13"":1,""4"":2,""5"":2,""6"":5,""7"":8,""8"":8,""9"":8}}",63,3.3346905538267877,428,0.428,"{""3"":428,""4"":308,""5"":204,""6"":47,""7"":13}","{""10"":3,""11"":3,""12"":1,""13"":1,""3"":428,""4"":102,""5"":232,""6"":146,""7"":38,""8"":21,""9"":25}","{""Diagonal CMA-ES"":{""attempts"":318,""discoveries"":25,""improvements"":31,""insertions"":56,""insertion_rate"":0.1761006289308176},""Immigrant"":{""attempts"":143,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":299,""discoveries"":32,""improvements"":40,""insertions"":72,""insertion_rate"":0.2408026755852843},""Novelty"":{""attempts"":240,""discoveries"":16,""improvements"":20,""insertions"":36,""insertion_rate"":0.15}}","{""Morphology"":196,""Novelty"":22}",23,0.0,true,1000
39,3,4000,0.041564243,0.012430805000000001,0.010680757,0.000635194,0.001114854,0.047577809,58.10397,0.95314157,407.5063103735447,134,0.6979167,18,2.6781343162997,67,0.5,"{""3"":67,""4"":45,""5"":19,""6"":3}","{""3"":67,""4"":6,""5"":40,""6"":10,""7"":5,""8"":4,""9"":2}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.125,""mean_muscles"":8.34375,""node_counts"":{""4"":2,""5"":15,""6"":25,""7"":17,""8"":5},""muscle_counts"":{""10"":5,""11"":4,""12"":3,""13"":1,""14"":2,""15"":1,""4"":2,""5"":2,""6"":10,""7"":10,""8"":16,""9"":8}}",89,3.6880941720055223,424,0.424,"{""3"":424,""4"":311,""5"":193,""6"":47,""7"":17,""8"":8}","{""10"":6,""11"":4,""12"":5,""13"":2,""14"":3,""15"":1,""3"":424,""4"":114,""5"":221,""6"":115,""7"":49,""8"":43,""9"":13}","{""Diagonal CMA-ES"":{""attempts"":329,""discoveries"":9,""improvements"":26,""insertions"":35,""insertion_rate"":0.10638297872340426},""Immigrant"":{""attempts"":126,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":312,""discoveries"":23,""improvements"":23,""insertions"":46,""insertion_rate"":0.14743589743589744},""Novelty"":{""attempts"":233,""discoveries"":8,""improvements"":12,""insertions"":20,""insertion_rate"":0.08583690987124463}}","{""Morphology"":190,""Novelty"":27}",24,0.0,false,1000
39,4,5000,0.064116598,0.022552355,0.020704949,0.00095101,0.000896396,0.07171518,58.10397,1.5670699,536.1639123260975,146,0.7604167,21,2.8596786065894193,70,0.4794520547945205,"{""3"":70,""4"":53,""5"":20,""6"":3}","{""11"":1,""3"":70,""4"":7,""5"":47,""6"":10,""7"":5,""8"":5,""9"":1}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.125,""mean_muscles"":8.34375,""node_counts"":{""4"":2,""5"":15,""6"":25,""7"":17,""8"":5},""muscle_counts"":{""10"":5,""11"":4,""12"":3,""13"":1,""14"":2,""15"":1,""4"":2,""5"":2,""6"":10,""7"":10,""8"":16,""9"":8}}",91,3.7199147475221808,403,0.403,"{""3"":403,""4"":369,""5"":180,""6"":32,""7"":10,""8"":1,""9"":5}","{""10"":2,""11"":7,""12"":2,""13"":2,""14"":2,""15"":2,""18"":1,""3"":403,""4"":123,""5"":274,""6"":79,""7"":52,""8"":40,""9"":11}","{""Diagonal CMA-ES"":{""attempts"":299,""discoveries"":8,""improvements"":13,""insertions"":21,""insertion_rate"":0.07023411371237458},""Immigrant"":{""attempts"":137,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":300,""discoveries"":4,""improvements"":25,""insertions"":29,""insertion_rate"":0.09666666666666666},""Novelty"":{""attempts"":264,""discoveries"":0,""improvements"":17,""insertions"":17,""insertion_rate"":0.06439393939393939}}","{""Morphology"":213,""Novelty"":35}",2,1.0,false,2000
39,5,6000,0.086283087,0.022166488999999998,0.020479366,0.000806162,0.000880961,0.095421569,58.10397,2.6058033,727.7857779618353,155,0.8072917,23,2.9490611950208843,77,0.4967741935483871,"{""3"":77,""4"":44,""5"":30,""6"":4}","{""11"":1,""3"":77,""4"":5,""5"":40,""6"":14,""7"":11,""8"":7}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.171875,""mean_muscles"":8.375,""node_counts"":{""4"":2,""5"":14,""6"":25,""7"":17,""8"":6},""muscle_counts"":{""10"":6,""11"":4,""12"":3,""13"":1,""14"":2,""15"":1,""4"":2,""5"":2,""6"":10,""7"":10,""8"":15,""9"":8}}",99,3.871313373659716,391,0.391,"{""3"":391,""4"":356,""5"":187,""6"":46,""7"":12,""8"":6,""9"":2}","{""10"":4,""11"":8,""12"":3,""13"":1,""14"":1,""16"":1,""18"":1,""3"":391,""4"":116,""5"":266,""6"":111,""7"":47,""8"":37,""9"":13}","{""Diagonal CMA-ES"":{""attempts"":298,""discoveries"":5,""improvements"":19,""insertions"":24,""insertion_rate"":0.08053691275167785},""Immigrant"":{""attempts"":143,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":317,""discoveries"":3,""improvements"":36,""insertions"":39,""insertion_rate"":0.12302839116719243},""Novelty"":{""attempts"":242,""discoveries"":2,""improvements"":16,""insertions"":18,""insertion_rate"":0.0743801652892562}}","{""Morphology"":208,""Novelty"":31}",5,1.0,false,3000
39,6,7000,0.107369152,0.021086065,0.018992893,0.000896395,0.001196777,0.118163887,58.10397,3.1242287,830.1148056630045,160,0.8333333,26,3.1698794726498902,73,0.45625,"{""3"":73,""4"":48,""5"":33,""6"":6}","{""11"":3,""3"":73,""4"":6,""5"":42,""6"":15,""7"":14,""8"":7}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.203125,""mean_muscles"":8.40625,""node_counts"":{""4"":2,""5"":12,""6"":27,""7"":17,""8"":6},""muscle_counts"":{""10"":6,""11"":3,""12"":3,""13"":1,""14"":2,""15"":1,""4"":2,""5"":2,""6"":8,""7"":10,""8"":17,""9"":9}}",98,3.840303630952421,415,0.415,"{""3"":415,""4"":321,""5"":196,""6"":50,""7"":12,""8"":2,""9"":4}","{""10"":6,""11"":12,""13"":2,""14"":2,""3"":415,""4"":127,""5"":219,""6"":71,""7"":85,""8"":50,""9"":11}","{""Diagonal CMA-ES"":{""attempts"":291,""discoveries"":3,""improvements"":9,""insertions"":12,""insertion_rate"":0.041237113402061855},""Immigrant"":{""attempts"":130,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":299,""discoveries"":2,""improvements"":26,""insertions"":28,""insertion_rate"":0.09364548494983277},""Novelty"":{""attempts"":280,""discoveries"":3,""improvements"":6,""insertions"":9,""insertion_rate"":0.03214285714285714}}","{""Morphology"":196,""Novelty"":34}",5,1.0,false,4000
39,7,8000,0.118539068,0.011169916,0.009188348,0.001066176,0.000915392,0.130928318,58.10397,3.4495494,949.0823052823544,165,0.859375,28,3.283704101840086,75,0.45454545454545453,"{""3"":75,""4"":45,""5"":35,""6"":10}","{""11"":5,""3"":75,""4"":8,""5"":37,""6"":17,""7"":15,""8"":8}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.265625,""mean_muscles"":8.515625,""node_counts"":{""4"":1,""5"":12,""6"":27,""7"":17,""8"":7},""muscle_counts"":{""10"":6,""11"":4,""12"":3,""13"":1,""14"":2,""15"":1,""4"":1,""5"":2,""6"":8,""7"":10,""8"":17,""9"":9}}",112,4.142670552171547,370,0.37,"{""3"":370,""4"":311,""5"":212,""6"":84,""7"":16,""8"":7}","{""10"":6,""11"":33,""12"":2,""14"":2,""15"":1,""3"":370,""4"":115,""5"":224,""6"":60,""7"":101,""8"":67,""9"":19}","{""Diagonal CMA-ES"":{""attempts"":325,""discoveries"":2,""improvements"":5,""insertions"":7,""insertion_rate"":0.021538461538461538},""Immigrant"":{""attempts"":140,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":303,""discoveries"":1,""improvements"":21,""insertions"":22,""insertion_rate"":0.07260726072607261},""Novelty"":{""attempts"":232,""discoveries"":3,""improvements"":4,""insertions"":7,""insertion_rate"":0.03017241379310345}}","{""Morphology"":209,""Novelty"":26}",4,1.0,false,5000
39,8,9000,0.14244492,0.023905852000000002,0.022102376,0.00084178,0.000961696,0.156642394,58.10397,3.9181452,1079.6469067111611,165,0.859375,29,3.3690973753110556,74,0.4484848484848485,"{""3"":74,""4"":40,""5"":36,""6"":15}","{""11"":8,""3"":74,""4"":8,""5"":32,""6"":18,""7"":18,""8"":6,""9"":1}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.328125,""mean_muscles"":8.71875,""node_counts"":{""5"":12,""6"":27,""7"":17,""8"":8},""muscle_counts"":{""10"":6,""11"":4,""12"":3,""13"":1,""14"":2,""15"":1,""17"":1,""5"":2,""6"":8,""7"":10,""8"":17,""9"":9}}",115,4.266038858738815,357,0.357,"{""3"":357,""4"":308,""5"":231,""6"":80,""7"":16,""8"":7,""9"":1}","{""10"":3,""11"":27,""12"":8,""13"":1,""14"":1,""15"":1,""16"":1,""17"":1,""3"":357,""4"":131,""5"":211,""6"":106,""7"":73,""8"":59,""9"":20}","{""Diagonal CMA-ES"":{""attempts"":292,""discoveries"":0,""improvements"":10,""insertions"":10,""insertion_rate"":0.03424657534246575},""Immigrant"":{""attempts"":147,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":297,""discoveries"":1,""improvements"":24,""insertions"":25,""insertion_rate"":0.08417508417508418},""Novelty"":{""attempts"":264,""discoveries"":0,""improvements"":12,""insertions"":12,""insertion_rate"":0.045454545454545456}}","{""Morphology"":200,""Novelty"":28}",4,0.9634146341463414,false,6000
39,9,10000,0.168175619,0.025730699,0.023888043,0.000842968,0.000999688,0.184259678,58.10397,4.4217243,1188.0201987698674,168,0.875,30,3.512034581057441,71,0.4226190476190476,"{""3"":71,""4"":40,""5"":37,""6"":19,""7"":1}","{""10"":1,""11"":10,""3"":71,""4"":10,""5"":30,""6"":15,""7"":21,""8"":7,""9"":3}",64,"{""count"":64,""unique_topologies"":64,""topology_entropy_bits"":6.0,""effective_topology_count"":64.0,""triangle_like_count"":0,""triangle_like_fraction"":0.0,""mean_nodes"":6.359375,""mean_muscles"":8.765625,""node_counts"":{""5"":11,""6"":27,""7"":18,""8"":8},""muscle_counts"":{""10"":6,""11"":4,""12"":3,""13"":1,""14"":2,""15"":1,""17"":1,""5"":2,""6"":7,""7"":10,""8"":17,""9"":10}}",114,4.305591352673437,349,0.349,"{""3"":349,""4"":322,""5"":196,""6"":101,""7"":19,""8"":8,""9"":5}","{""10"":8,""11"":28,""12"":4,""13"":2,""14"":1,""15"":3,""16"":1,""17"":1,""18"":1,""21"":1,""3"":349,""4"":120,""5"":225,""6"":82,""7"":78,""8"":63,""9"":33}","{""Diagonal CMA-ES"":{""attempts"":316,""discoveries"":3,""improvements"":4,""insertions"":7,""insertion_rate"":0.022151898734177215},""Immigrant"":{""attempts"":128,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0},""Morphology"":{""attempts"":307,""discoveries"":1,""improvements"":26,""insertions"":27,""insertion_rate"":0.08794788273615635},""Novelty"":{""attempts"":249,""discoveries"":0,""improvements"":0,""insertions"":0,""insertion_rate"":0.0}}","{""Morphology"":186,""Novelty"":34}",3,0.9655172413793104,false,7000
